text,label
"Dude, I saved the file but now I can’t find where I saved it, I’m just done at this point. Fr, the bus was so crowded I couldn't even move my arm to check my phone, my life is actually a joke sometimes. Real talk, I joined the online class and the teacher immediately took my name, I really need to get my life together.",0
"Built with performance in mind, the platform enables you to analyze written content and determine whether it was generated by a human or an AI model, in just a few clicks directly from your browser. You can think of the entire model as a sequence of stages: then, these sequences are padded to a consistent length to form batches, this makes the model suitable for real-time applications with moderate resource usage. The rapid growth of artificial intelligence has significantly influenced the challenges associated with maintaining fairness, privacy, and reliability, and this work contributes to the growing body of research on AI safety. Integration with existing authentication systems can help secure access to the tool.",1
"Not even kidding, my laptop sounds like a jet engine every time I open VS Code, I’m just done at this point. Idk man, I made maggi and still somehow managed to burn it, it be like that sometimes fr. Bruh, my laptop sounds like a jet engine every time I open VS Code, I swear the universe is trolling me. Dude, the bus was so crowded I couldn't even move my arm to check my phone, I really need to get my life together. The only thing consistent about me is my inconsistency.",0
"Whether you're a student, teacher, or developer, this application lets you analyze written content and determine whether it was generated by a human or an AI model, without needing any prior expertise in machine learning. The rapid growth of artificial intelligence has significantly influenced various strategies for improving classification accuracy on real-world datasets, in order to build more transparent and trustworthy AI systems. The classification pipeline can be broken down into several steps: finally, the output is interpreted as either AI-generated or human-generated text, this makes the model suitable for real-time applications with moderate resource usage.",1
"To understand how this model works, consider the following process: then, these sequences are padded to a consistent length to form batches, which allows the system to deliver predictions with minimal latency. At a high level, the system follows this workflow: then, these sequences are padded to a consistent length to form batches, as a result, developers can integrate the classifier into existing web applications. This project aims to explore the challenges associated with maintaining fairness, privacy, and reliability, which may assist organizations in making informed decisions.",1
"Not even kidding, the bus was so crowded I couldn't even move my arm to check my phone, and now I’m just here questioning my decisions. Honestly, I was so hungry that I finished my food in under five minutes, I need a reset button for real. Fr, I opened my notes and instantly felt sleepy for no reason, I keep saying I'll change, but do I? No. Idk man, the bus was so crowded I couldn't even move my arm to check my phone, it be like that sometimes fr. My screen time report is basically judging my whole existence.",0
"Lowkey feeling like my wifi keeps dying whenever I actually decide to be productive, I keep saying I'll change, but do I? No. Brooo, I told myself I’d sleep early but it’s 3am and I’m still awake, now I’m just staring at the screen like 💀. Listen, I opened my notes and instantly felt sleepy for no reason, and now I’m just here questioning my decisions. Bruh, I saved the file but now I can’t find where I saved it, and I still act surprised every time. I’ll complain about being tired but still stay up late on my phone.",0
"With this intelligent system, users can effortlessly gain deeper insights into the authenticity of text appearing in your documents or projects, making AI more accessible and understandable for everyone. With this intelligent system, users can effortlessly enhance your workflow by adding a simple layer of AI-generated content detection, so you can stay confident about the origin of your text. Our AI-powered detector provides a seamless way to gain deeper insights into the authenticity of text appearing in your documents or projects, making AI more accessible and understandable for everyone. The overall design focuses on balancing accuracy, usability, and efficiency.",1
"No cap, I kept saying one last episode and somehow finished the whole season, it be like that sometimes fr. Bruh, I opened my notes and instantly felt sleepy for no reason, and I'm still pretending everything is fine. No cap, the bus was so crowded I couldn't even move my arm to check my phone, I really need to get my life together. Fr, I saved the file but now I can’t find where I saved it, I really need to get my life together. I keep saying I’ll start going to the gym ‘next Monday’.",0
"Not even kidding, I joined the online class and the teacher immediately took my name, now I’m just staring at the screen like 💀. Tbh, the bus was so crowded I couldn't even move my arm to check my phone, I can’t even be mad, this is on me. Listen, I was supposed to study but ended up scrolling reels for like two hours, I swear the universe is trolling me. No cap, the app just crashed the exact second I hit save, my life is actually a joke sometimes. Every time I say 'from tomorrow', that tomorrow never comes.",0
"Real talk, my laptop sounds like a jet engine every time I open VS Code, now I’m just staring at the screen like 💀. Real talk, I was so hungry that I finished my food in under five minutes, I need a reset button for real.",0
